Date,DAU,GMV,Retention_D7,User_Complaints
2024-01-01,100198,5351.91,0.2816,126
2024-01-02,100233,4874.34,0.2385,138
2024-01-03,100582,4281.81,0.2774,119
2024-01-04,101281,5205.73,0.2602,124
2024-01-05,101277,4832.98,0.2453,128
2024-01-06,101273,4976.01,0.2669,116
2024-01-07,101995,5426.98,0.263,122
2024-01-08,102392,5163.38,0.251,120
2024-01-09,102294,4692.87,0.261,121
2024-01-10,102601,4300.42,0.2542,111
2024-01-11,102505,4466.74,0.2617,120
2024-01-12,102409,5419.42,0.2699,125
2024-01-13,102596,5131.36,0.2838,137
2024-01-14,101920,4227.83,0.2414,131
2024-01-15,101320,5103.57,0.292,145
2024-01-16,101185,5374.56,0.2307,111
2024-01-17,100870,5172.35,0.2577,130
2024-01-18,101085,5184.05,0.2688,122
2024-01-19,100812,5147.6,0.2642,146
2024-01-20,100337,4422.96,0.2507,111
2024-01-21,101013,4648.08,0.2569,110
2024-01-22,101013,5323.01,0.2526,113
2024-01-23,101130,5616.3,0.2512,95
2024-01-24,100650,6303.18,0.2727,114
2024-01-25,100522,4279.26,0.2654,111
2024-01-26,100656,4654.95,0.2496,121
2024-01-27,100285,5261.32,0.2735,124
2024-01-28,100526,4930.75,0.2646,142
2024-01-29,100375,5620.41,0.2722,131
2024-01-30,100348,7170.13,0.2694,114
2024-01-31,100198,5533.12,0.2476,110
2024-02-01,101028,5343.56,0.2516,125
2024-02-02,101113,5958.17,0.2712,105
2024-02-03,100780,4940.86,0.2692,141
2024-02-04,101199,5080.48,0.2597,134
2024-02-05,100800,6081.88,0.2618,115
2024-02-06,100974,4362.23,0.2792,100
2024-02-07,100280,4725.23,0.2511,136
2024-02-08,99838,4779.07,0.2682,119
2024-02-09,100007,4890.23,0.257,134
2024-02-10,100392,5709.91,0.2567,101
2024-02-11,100551,4114.6,0.2765,113
2024-02-12,100594,5052.25,0.2724,120
2024-02-13,100564,4364.72,0.2722,200
2024-02-14,100062,4491.14,0.2796,265
2024-02-15,99864,6002.02,0.2603,307
2024-02-16,99770,4786.2,0.2702,238
2024-02-17,100283,4378.39,0.2553,189
2024-02-18,100510,4913.15,0.2649,121
2024-02-19,99895,4965.68,0.258,126
2024-02-20,100114,4708.83,0.2615,128
2024-02-21,100050,5503.07,0.2689,107
2024-02-22,99869,4534.62,0.2477,102
2024-02-23,100204,4739.9,0.2914,135
2024-02-24,100706,6185.79,0.2449,123
2024-02-25,101168,5612.65,0.2418,112
2024-02-26,100922,3659.02,0.2774,138
2024-02-27,100889,4738.02,0.2719,121
2024-02-28,101111,4882.98,0.2694,134
2024-02-29,101591,5596.28,0.2694,120
2024-03-01,101489,4754.46,0.2598,144
2024-03-02,101505,5123.38,0.2465,141
2024-03-03,101152,5103.74,0.2611,118
2024-03-04,100764,5541.29,0.2498,131
2024-03-05,101179,4547.76,0.2746,127
2024-03-06,101811,4705.11,0.2578,136
2024-03-07,101872,5426.34,0.2476,109
2024-03-08,102363,4936.99,0.2552,128
2024-03-09,102598,5645.95,0.2662,132
2024-03-10,102430,5525.74,0.2515,99
2024-03-11,102664,4202.56,0.2477,106
2024-03-12,103369,5871.46,0.2637,96
2024-03-13,103445,6592.88,0.2637,117
2024-03-14,104161,5467.83,0.2524,128
2024-03-15,103203,4698.73,0.2529,138
2024-03-16,103621,5067.25,0.2635,120
2024-03-17,103746,6076.61,0.2383,139
2024-03-18,103716,5422.15,0.2389,104
2024-03-19,103843,5337.61,0.2492,100
2024-03-20,103138,5311.0,0.2568,120
2024-03-21,103140,4418.3,0.2647,124
2024-03-22,103372,4885.84,0.2821,120
2024-03-23,104054,3558.0,0.2729,96
2024-03-24,103936,4790.98,0.2576,119
2024-03-25,103703,5144.95,0.2597,105
2024-03-26,103592,4812.78,0.245,128
2024-03-27,104048,6022.66,0.2597,124
2024-03-28,104269,4953.05,0.2557,109
2024-03-29,104147,4904.64,0.2648,114
2024-03-30,104442,6139.77,0.2476,108
