 date,product,category,region,sales,units,profit
 2024-01-02,Laptop,Electronics,North,1200,2,240
 2024-01-04,Phone,Electronics,South,800,4,160
 2024-01-08,Tablet,Electronics,East,450,3,67.5
 2024-01-09,Headphones,Accessories,West,150,5,45
 2024-01-11,Monitor,Electronics,North,300,1,60
 2024-01-15,Laptop,Electronics,South,1200,2,240
 2024-01-16,Phone,Electronics,East,800,4,160
 2024-01-18,Tablet,Electronics,West,450,3,67.5
 2024-01-22,Headphones,Accessories,North,150,5,45
 2024-01-23,Monitor,Electronics,South,300,1,60
 2024-01-25,Laptop,Electronics,East,1200,2,240
 2024-01-29,Phone,Electronics,West,800,4,160
 2024-02-01,Tablet,Electronics,North,450,3,67.5
 2024-02-05,Headphones,Accessories,South,150,5,45
 2024-02-06,Monitor,Electronics,East,300,1,60
 2024-02-08,Laptop,Electronics,West,1200,2,240
 2024-02-12,Phone,Electronics,North,800,4,160
 2024-02-13,Tablet,Electronics,South,450,3,67.5
 2024-02-15,Headphones,Accessories,East,150,5,45
 2024-02-19,Monitor,Electronics,West,300,1,60
 2024-02-20,Laptop,Electronics,North,1200,2,240
 2024-02-22,Phone,Electronics,South,800,4,160
 2024-02-26,Tablet,Electronics,East,450,3,67.5
 2024-02-27,Headphones,Accessories,West,150,5,45
 2024-03-01,Monitor,Electronics,North,300,1,60
 2024-03-04,Laptop,Electronics,South,1200,2,240
 2024-03-05,Phone,Electronics,East,800,4,160
 2024-03-07,Tablet,Electronics,West,450,3,67.5
 2024-03-11,Headphones,Accessories,North,150,5,45
 2024-03-12,Monitor,Electronics,South,300,1,60
 2024-03-14,Laptop,Electronics,East,1200,2,240
 2024-03-18,Phone,Electronics,West,800,4,160
 2024-03-19,Tablet,Electronics,North,450,3,67.5
 2024-03-21,Headphones,Accessories,South,150,5,45
 2024-03-25,Monitor,Electronics,East,300,1,60
 2024-03-26,Laptop,Electronics,West,1200,2,240
